->N, 1
-ACC, 27
-ADVL, 10
-CJT, 1
-H, 1
-N<, 1
-OC, 1
-P, 73
-P<, 4
-PAUX, 1
-PIV, 3
-SC, 4
-STA, 3
-SUBJ, 7
>A, 396
>N, 14558
>P, 73
>S, 2
A<, 285
A<ARG, 12
A<arg, 46
ACC, 4414
ACC-PASS, 39
ADVL, 6202
ADVL/A<[+1], 2
ADVL/ADVL[-3], 2
ADVL/N<[+1], 72
ADVL/N<[+2], 25
ADVL/N<[+3], 7
ADVL/PIV, 1
APP, 220
AUX, 1299
AUX<, 2
CJT, 4057
CJT&ACC, 1
CJT&ADVL, 3
CJT&PASS, 1
CJT&PRED, 2
CMD, 7
CO, 1802
COM, 144
DAT, 38
EXC, 36
FOC, 44
H, 41515
KOMP<, 64
MV, 8223
N<, 9546
N</ADVL[-1], 3
N</ADVL[-2], 1
N</ADVL[-3], 1
N</N<[+1], 2
N</N<[+2], 24
N</N<[-2], 1
N</P<[+1], 1
N<ARG, 144
N<ARGO, 468
N<ARGS, 133
N<PRED, 1598
N<PRED/N<PRED[+2], 2
N<PRED/N<PRED[-2], 1
N<PRED/UTT[-4], 1
NUM<, 2
OA, 27
OC, 103
P, 8203
P<, 11989
PASS, 246
PAUX, 26
PCJT, 20
PIV, 1120
PIV/N<[+1], 1
PMV, 52
PRD, 71
PRED, 80
PRT-AUX, 121
QUE, 64
S<, 21
SA, 207
SC, 1295
STA, 3786
SUB, 774
SUBJ, 5141
TOP, 1
UTT, 474
VOC, 8
X, 405
